Kommune;DepartmentID;OrgNo;Skole;Bydel
Oslo;3119;974590581;Brannfjell skole;Nordstrand
Oslo;3122;974589710;Bryn skole;Alna
Oslo;40690;916513968;Brynseng skole;Gamle Oslo
Oslo;3123;974589729;Bygdøy skole;Frogner
Oslo;3124;974589737;Bøler skole;Østensjø
Oslo;5454;973480634;Den Tysk-Norske Skolen i Oslo;blandet
Oslo;3125;879128072;Disen skole;Nordre Aker
Oslo;3127;974589745;Ekeberg skole;Nordstrand
Oslo;3128;974590530;Ellingsrud skole;Alna
Oslo;3129;974589753;Ellingsrudåsen skole;Alna
Oslo;3131;979127642;Engebråten skole;Nordre Aker
Oslo;40573;913511204;Fagerborg skole;St. Hanshaugen
Oslo;40685;916203993;Fernanda Nissen skole;Sagene
Oslo;31732;996377210;Frydenberg skole;Grünerløkka
Oslo;3137;974589761;Furuset skole;Alna
Oslo;30618;995821664;Fyrstikkalleen skole;Gamle Oslo
Oslo;3138;973626442;Gamlebyen skole;Gamle Oslo
Oslo;3139;979927533;Godlia skole;Østensjø
Oslo;40572;913511085;Granstangen skole;Stovner
Oslo;3141;974589788;Grefsen skole;Nordre Aker
Oslo;3144;974589699;Grindbakken skole;Vestre Aker
Oslo;3145;974589796;Grorud skole;Grorud
Oslo;3146;979125917;Groruddalen skole;Grorud
Oslo;3147;874589802;Grünerløkka skole;Grünerløkka
Oslo;3148;974590417;Hallagerbakken skole;Søndre Nordstrand
Oslo;3150;974589818;Hasle skole;Grünerløkka
Oslo;3151;874590452;Haugen skole;Stovner
Oslo;3152;974590549;Haugenstua skole;Stovner
Oslo;3153;974590557;Haugerud skole;Alna
Oslo;3154;974590565;Hauketo skole;Søndre Nordstrand
Oslo;3160;874589772;Holmlia skole;Søndre Nordstrand
Oslo;3163;874590592;Hovseter skole;Vestre Aker
Oslo;40603;914415942;Humanistskolen;blandet
Oslo;3164;974589834;Huseby skole;Vestre Aker
Oslo;3165;974589842;Høybråten skole;Stovner
Oslo;3166;974589850;Høyenhall skole;Østensjø
Oslo;3167;974589869;Ila skole;St. Hanshaugen
Oslo;3168;974590506;Jeriko skole;Alna
Oslo;3169;880954342;Jordal skole;Gamle Oslo
Oslo;3170;974589877;Kampen skole;Gamle Oslo
Oslo;3171;979126743;Karlsrud skole;Nordstrand
Oslo;3172;987131780;Kastellet skole;Nordstrand
Oslo;3174;974589893;Kjelsås skole;Nordre Aker
Oslo;3175;974589907;Klemetsrud skole;Søndre Nordstrand
Oslo;3177;974589915;Korsvoll skole;Nordre Aker
Oslo;3178;975960315;Kringsjå skole;Nordre Aker
